1,2,290.99
1,3,794.00
1,4,628.71
1,5,850.05
1,6,806.30
1,7,881.98
1,8,972.87
1,9,991.28
1,10,437.07
1,11,1237.92
1,12,1186.97
1,13,903.39
1,14,507.79
1,15,903.18
1,16,1178.84
1,17,1197.22
1,18,1201.22
1,19,1205.38
1,20,901.74
1,21,760.41
1,22,1032.29
1,23,943.22
1,24,1105.64
1,25,998.60
1,26,1011.26
1,27,1527.09
1,28,1338.98
1,29,1058.82
1,30,1205.64
1,31,1793.63
1,32,1337.94
1,33,1714.41
1,34,1740.60
1,35,1498.45
1,36,1852.35
1,37,1624.75
1,38,1858.09
2,3,512.54
2,4,341.89
2,5,564.41
2,6,515.31
2,7,591.03
2,8,682.88
2,9,701.26
2,10,457.16
2,11,946.94
2,12,896.44
2,13,622.35
2,14,483.51
2,15,624.62
2,16,891.18
2,17,909.79
2,18,914.28
2,19,918.59
2,20,660.67
2,21,811.12
2,22,779.03
2,23,717.72
2,24,847.67
2,25,774.51
2,26,792.03
2,27,1253.14
2,28,1082.89
2,29,966.32
2,30,1045.98
2,31,1533.67
2,32,1192.87
2,33,1472.37
2,34,1496.33
2,35,1308.44
2,36,1598.95
2,37,1412.89
2,38,1649.19
3,4,174.79
3,5,68.97
3,6,167.35
3,7,182.24
3,8,299.64
3,9,312.28
3,10,882.96
3,11,492.02
3,12,463.57
3,13,370.98
3,14,866.29
3,15,391.36
3,16,503.10
3,17,521.81
3,18,530.94
3,19,536.25
3,20,591.75
3,21,1200.51
3,22,621.89
3,23,678.53
3,24,651.95
3,25,721.37
3,26,748.33
3,27,923.17
3,28,851.36
3,29,1154.17
3,30,1095.09
3,31,1245.58
3,32,1251.35
3,33,1252.08
3,34,1266.85
3,35,1251.66
3,36,1331.29
3,37,1288.37
3,38,1514.20
4,5,222.54
4,6,199.76
4,7,266.30
4,8,376.01
4,9,393.28
4,10,713.58
4,11,620.56
4,12,577.99
4,13,375.43
4,14,702.70
4,15,388.58
4,16,592.45
4,17,611.69
4,18,618.53
4,19,623.45
4,20,535.35
4,21,1040.03
4,22,603.94
4,23,617.42
4,24,652.51
4,25,668.08
4,26,693.06
4,27,992.85
4,28,875.33
4,29,1040.07
4,30,1021.02
4,31,1301.13
4,32,1177.73
4,33,1279.47
4,34,1298.18
4,35,1216.95
4,36,1379.17
4,37,1279.00
4,38,1511.84
5,6,139.41
5,7,127.00
5,8,238.63
5,9,249.70
5,10,912.47
5,11,423.33
5,12,394.71
5,13,329.11
5,14,889.64
5,15,351.00
5,16,436.38
5,17,454.91
5,18,464.30
5,19,469.63
5,20,564.02
5,21,1219.61
5,22,580.09
5,23,650.91
5,24,603.93
5,25,690.18
5,26,717.49
5,27,857.66
5,28,795.15
5,29,1144.53
5,30,1068.25
5,31,1181.62
5,32,1223.50
5,33,1193.53
5,34,1207.41
5,35,1209.97
5,36,1268.51
5,37,1238.91
5,38,1462.21
6,7,77.18
6,8,176.35
6,9,193.82
6,10,808.47
6,11,431.65
6,12,383.21
6,13,205.56
6,14,776.96
6,15,225.01
6,16,392.72
6,17,411.96
6,18,418.77
6,19,423.69
6,20,426.93
6,21,1099.88
6,22,455.28
6,23,513.88
6,24,488.77
6,25,555.17
6,26,582.28
6,27,796.32
6,28,697.30
6,29,1005.75
6,30,931.16
